pathway_id,from_stop_id,to_stop_id,facility_id,pathway_mode,is_bidirectional,length,wheelchair_length,traversal_time,wheelchair_traversal_time,stair_count,max_slope,pathway_name,pathway_code,signposted_as,instructions
sstat-272,node-399-lobby,node-sstat-north-farepaid,,1,0,13.7160000,13.7160000,,,,,Top of Escalator 399 to Paid side of fare gates,,"Red Line, Silver Line - SL1/SL2/SL5",
sstat-273,node-sstat-399stair-lobby,node-sstat-north-farepaid,,1,0,14.9352000,14.9352000,,,,,"Top of stairs for Red Line, Silver Line lobby to Paid side of fare gates",,"Red Line, Silver Line - SL1/SL2/SL6",
sstat-274,node-901-lobby,node-sstat-north-farepaid,,1,0,28.3464000,28.3464000,,,,,Lobby level of Elevator 901 to Paid side of fare gates,,"Red Line, Silver Line - SL1/SL2/SL7",
sstat-275,node-388-lobby,node-sstat-north-farepaid,,1,0,26.8224000,26.8224000,,,,,Top of Escalator 388 to Paid side of fare gates,,"Red Line, Silver Line - SL1/SL2/SL8",
sstat-276,node-sstat-388stair-lobby,node-sstat-north-farepaid,,1,0,25.2984000,25.2984000,,,,,Top of stairs for drop-off only platform to Paid side of fare gates,,"Red Line, Silver Line - SL1/SL2/SL9",
sstat-277,node-sstat-918stair-lobby,node-sstat-north-farepaid,,1,0,16.1544000,16.1544000,,,,,Top of stairs for SL1/SL2/platform to Paid side of fare gates,,"Red Line, Silver Line - SL1/SL2/SL10",
sstat-278,node-918-lobby,node-sstat-north-farepaid,,1,0,14.3256000,14.3256000,,,,,Lobby level of Elevator 918 to Paid side of fare gates,,"Red Line, Silver Line - SL1/SL2/SL11",
sstat-279,node-sstat-411stair-lobby,node-sstat-north-farepaid,,1,0,19.8120000,19.8120000,,,,,Top of stairs for SL1/SL2/platform to Paid side of fare gates,,"Red Line, Silver Line - SL1/SL2/SL12",
sstat-280,node-411-lobby,node-sstat-north-farepaid,,1,0,18.2880000,18.2880000,,,,,Top of Escalator 411 to Paid side of fare gates,,"Red Line, Silver Line - SL1/SL2/SL13",
sstat-281,node-sstat-south-farepaid,node-sstat-419stair-lobby,,1,0,26.2128000,26.2128000,,,,,"Paid side of fare gates to Top of stairs for Red Line, Silver Line lobby",,Red Line - All trains,
sstat-282,node-sstat-south-farepaid,node-419-lobby,,1,0,21.9456000,21.9456000,,,,,Paid side of fare gates to Top of Escalator 419,,Red Line - All trains,
sstat-283,node-sstat-south-farepaid,node-399-lobby,,1,0,19.5072000,19.5072000,,,,,Paid side of fare gates to Top of Escalator 399,,Red Line - All trains,
